time,envelope_change,sway_speed,sway_lean
3.326,0.0081366008666395,0.0,0.0
3.328,0.0082611995480974,0.0,0.0
3.33,0.0083570845172973,0.0,0.0
3.332,0.0084231588815697,0.0,0.0
3.334,0.0084585633650895,0.0,0.0
3.336,0.0084626985689365,0.0,0.0
3.338,0.0084352459778201,0.0,0.0
3.34,0.0083761866065381,0.0,0.0
3.342,0.0082858162944335,0.0,0.0
3.344,0.0081647565846282,0.0,0.0
3.346,0.008013960511295,0.0,0.0
3.348,0.0078347126595071,0.0,0.0
3.35,0.0076286228407845,0.0,0.0
3.352,0.0073976132967801,0.0,0.0
3.354,0.0071438993487912,0.0,0.0
3.356,0.0068699635809478,0.0,0.0
3.358,0.0065785241560781,0.0,0.0
3.36,0.0062724976339393,0.0,0.0
3.362,0.0059549568110337,0.0,0.0
3.364,0.0056290843978153,0.0,0.0
3.366,0.0052981232492299,0.0,0.0
3.368,0.0049653243367232,0.0,0.0
3.37,0.0046338936187673,0.0,0.0
3.372,0.0043069385145,0.0,0.0
3.374,0.0039874148533036,0.0,0.0
3.376,0.0036780747729388,0.0,0.0
3.378,0.0033814157158871,0.0,0.0
3.38,0.0030996309151902,0.0,0.0
3.382,0.0028345612627618,0.0,0.0
3.384,0.0025876483509062,0.0,0.0
3.386,0.0023598888769686,0.0,0.0
3.388,0.0021517946064478,0.0,0.0
3.39,0.0019633774396265,0.0,0.0
3.392,0.0017941873461078,0.0,0.0
3.394,0.001643403529074,0.0,0.0
3.396,0.0015099463007119,0.0,0.0
3.398,0.001392581985464,0.0,0.0
3.4,0.0012900138651009,0.0,0.0
3.402,0.0012009592461047,0.0,0.0
3.404,0.0011242130468464,0.0,0.0
3.406,0.0010586986489938,0.0,0.0
3.408,0.0010035066451423,0.0,0.0
3.41,0.0009579226128195,0.0,0.0
3.412,0.0009214450922425,0.0,0.0
3.414,0.0008937947133181,0.0,0.0
3.416,0.000874915978094,0.0,0.0
3.418,0.000864973291532,0.0,0.0
3.42,0.0008643427289814,0.0,0.0
3.422,0.0008736012690559,0.0,0.0
3.424,0.000893514950827,0.0,0.0
3.426,0.0009250272693045,0.0,0.0
